Sample_Name,nitrogen_percent
BH02_ACRU_B,2.037
BH02_ACRU_M,1.903
BH02_ACRU_T,2.219
BH02_PIST_BN,2.026
BH02_PIST_BO,1.714
BH02_PIST_MN,2.227
BH02_PIST_MO,1.948
BH02_PIST_TN,1.658
BH02_PIST_TO,1.65
BH02_QUAL_B,3.598
BH02_QUAL_M,3.174
BH02_QUAL_T,2.848
BH02_QURU_B,3.02
BH02_QURU_M,2.643
BH02_QURU_T,3.147
BH02_TSCA_BN,1.922
BH02_TSCA_BO,1.682
BH02_TSCA_MN,1.84
BH02_TSCA_MO,1.505
BH02_TSCA_TN,1.555
BH02_TSCA_TO,1.517
BH03_ACSM_B,2.9
BH03_ACSM_M,2.956
BH03_ACSM_T,2.541
BH03_CAOV_B,3.248
BH03_FRAM_T,2.499
BH03_QUAL_M,3.368
BH03_QUAL_T,2.998
BH03_QURU_M,3.048
BH03_QURU_T,3.146
BH03_TIAM_B,3.323
BH03_TIAM_M,3.648
BH05_ACSM_B,2.747
BH05_ACSM_M,2.584
BH05_ACSM_T,2.512
BH05_CAOV_B,3.4975
BH05_CAOV_M,3.4455
BH05_CAOV_T,3.1
BH05_PRSE_T,3.418
BH05_QURU_M,2.93
BH05_QURU_T,3.003
BH06_CAOV_B,3.315
BH06_CAOV_M,3.299
BH06_CAOV_T,3.068
BH06_FRAM_B,3.236
BH06_FRAM_M,3.088
BH06_FRAM_T,2.985
BH06_GRASS_T,1.511
BH06_OSVI_B,2.76
BH06_OSVI_M,2.867
BH06_OSVI_T,2.767
BH06_QUAL_B,3.313
BH06_QUAL_M,3.2995
BH06_QUAL_T,3.166
BH06_QURU_B,3.3
BH06_QURU_M,2.74
BH06_QURU_T,3.0185
BH07_ACSM_B,2.822
BH07_ACSM_M,3.076
BH07_ACSM_T,2.598
BH07_FRAM_B,3.244
BH07_FRAM_M,3.4
BH07_FRAM_T,2.881
BH07_OSVI_B,3.076
BH07_OSVI_M,2.878
BH07_OSVI_T,2.756
BH07_POTR_B,3.408
BH07_POTR_M,3.618
BH07_POTR_T,3.262
BH07_QURU_B,2.957
BH07_QURU_M,2.895
BH07_QURU_T,2.945
BH10_ACRU_B,2.557
BH10_ACRU_M,2.796
BH10_ACRU_T,2.422
