ID,plot,date,gps_file,team,elevation,bearing,easting,northing,aspect,slope,plantation,landform,site_charac,site_pics,site_folder,hp_photographer,hp_date,hp_camera,hp_folder,hp_start_time,hp_end_time,hp_sun_dir,,
407,AK01,8/7/09 0:00,R080709A,SAAB,316,30,600207,4922620,N/A,0,0,Summit/ Ridge,"Road & river to NW; river to E-SE. PIRE/PIST dominate canopy; QURU/ACRU/POTR dominate subcanopy. Ferns/PIST saplings/blueberries/grass on floor. Some CWD, treefall gaps, medium rocks. Revised plot center; other too close to road (<80m) .",47-57,,,NULL,,,NULL,NULL,0,,
315,AK02,8/7/09 0:00,,"L,C,Cr,J",0,66,0,0,None,,0,,Lots of downed trees.  High moss cover.,,,,NULL,,,NULL,NULL,0,,
316,AK03B,8/7/09 0:00,R080709A,SAAB,330,90,607523,4879382,N/A,0,0,Summit/ ridge top,"Canopy dominated by PIRE/PIST; subcanopy contains ABBA/ACsp/FRAM/PRsp. Ground covered by green vine, grasses & some herbs. Open gappy canopy. Bedrock close to surface. River down steep slope to S. Some CWD - mainly small fallen trees.",,,,NULL,,,NULL,NULL,0,,
332,AK06,8/7/09 0:00,,"L,Cr,C,J",NULL,246,NULL,NULL,,,0,bog,"Yep, cedar bogs do exist! Moss, almost exclusively cedar w/ spruce/fir understory - scattered yellow birch",,,,NULL,,,NULL,NULL,0,,
334,AK08,8/7/09 0:00,,"L,Cr,C,J",NULL,222,NULL,NULL,,,0,mid-slope,,,,,NULL,,,NULL,NULL,0,,
336,AK09,8/12/09 0:00,,"L,Ja,C,Cr",NULL,240,NULL,NULL,,,0,"mid-slope, just up from stream",,,,,NULL,,,NULL,NULL,0,,
,AK10,8/12/09 0:00,,,,,,,,,,,,,,,,,,,,,,
338,AK11,8/12/09 0:00,,"B,Jo,Je",483,246,565355,4904687,,n/a,0,bog,"narrow wet riverbed. FrNi, ThOc, BeAl present in canopy, TsCa in understory and at edges",,,,NULL,,,NULL,NULL,0,,
340,AK12,8/12/09 0:00,,"B,Jo,Je",494,114,565348,4904618,,,0,ride/slope (ridge @ C),"large gap @ B&E, rainbow @ E, many large boulders, mossy ground, large hemlocks",,,,NULL,,,NULL,NULL,0,,
323,AK1300,8/8/09 0:00,R080811A,ABCA,1301,174,587949,4913642,170,10,0,Mid-slope ridge,"Gnarly stunted ABBA forest. Low canopy ~25', some BEPA. Lots of throwdowns and rotting logs, rocks, deep moss layer.",Carly,,,NULL,,,NULL,NULL,0,,
322,AK13B,8/8/09 0:00,R080811A,ABCA,845,282,588660,4916713,42,20,0,Hillslope,"Gappy overstorey of ABBA/BEPA; dense ABBA sapling undergrowth, lots of dead/downed logs ~6-8 tk. Ferns", ACPE," ACRU in shrub/sap layer. Original plot straddles stream.""",,,,NULL,,,NULL,NULL,0
,AK136,8/8/09 0:00,,,,,,,,,,,,,,,,,,,,,,
342,AK14B,8/15/09 0:00,,"L,B,Cr,C",NULL,12,NULL,NULL,,,0,,"hemlock dominant, some Ac(sp), BeAl, FaGr; lots of downed trees covered in moss",,,,NULL,,,NULL,NULL,0,,
,AK146,8/15/09 0:00,,,,,,,,,,,,,,,,,,,,,,
344,AK16,8/12/09 0:00,,"B,Jo,Je",525,144,553864,4894874,,,0,pine slope,,,,,NULL,,,NULL,NULL,0,,
346,AK17,8/5/99 0:00,,"B,C,C,L",NULL,300,NULL,NULL,,,0,,"just slightly upslope from a boggy wetland area, lots of rock covered in mosses",,,,NULL,,,NULL,NULL,0,,
348,AK18,8/5/09 0:00,,"B,L,C,C",NULL,210,NULL,NULL,,,0,,"near bog, mostly spruce, lots of moss",,,,NULL,,,NULL,NULL,0,,
314,AK20,8/4/09 0:00,,"L,B,C,C,B,E",NULL,150,NULL,NULL,,,0,,valley,,,,NULL,,,NULL,NULL,0,,
353,AK21,8/5/09 0:00,,"L,C,C,B",NULL,264,NULL,NULL,,,0,mid-slope,,,,,NULL,,,NULL,NULL,0,,
355,AK22,8/4/09 0:00,,"L,C,C,B,B,E",NULL,270,NULL,NULL,,,0,slope (mid),,,,,NULL,,,NULL,NULL,0,,
330,AK23,8/6/09 0:00,,,NULL,132,NULL,NULL,,,0,mid-slope,"large basswood with 5 trunks as centerpoint\n",,,,NULL,,,NULL,NULL,0,,
328,AK24,8/6/09 0:00,,"L,B,Cr",NULL,54,NULL,NULL,,,0,,"heavy shrub/sap layer, lots of downed trees",,,,NULL,,,NULL,NULL,0,,
,AK25,8/6/09 0:00,,,,,,,,,,,,,,,,,,,,,,
319,AK26,8/12/09 0:00,,"L,C,Cr",NULL,70,NULL,NULL,,,0,,,,,,NULL,,,NULL,NULL,0,,
326,AK27,8/11/09 0:00,"L,Cr,T,Ja,Brad",,NULL,270,NULL,NULL,,,0,,approx. 300 ft. from Lake Eaton,,,,NULL,,,NULL,NULL,0,,
321,AK29,8/6/09 0:00,,EASB,563,330,554112,4838537,E,5-8%,0,Mid-slope,Relatively open FAGR/ACSM stand with some CWD on floor. Moderate-low herb cover. Understorey ACPE/FAGR. A couple large BEAL in canopy. Slopes to lake. Some medium gaps around plot. Canopy FAGR trees in decline due to fungus.,,,Shawn,NULL,,,NULL,NULL,270,,
359,AK31,8/11/09 0:00,,"L,C,J",NULL,126,NULL,NULL,,,0,mid-slope,"low beech trees, tall maples and BeAls and BePas",,,,NULL,,,NULL,NULL,0,,
357,AK32,8/14/09 0:00,,"B,C,C",NULL,144,NULL,NULL,,,0,floodplain,"Near a water reservoir, spruce in understory surrounded by slopes but main center is on a little plateau",,,,NULL,,,NULL,NULL,0,,
390,AK33,8/14/09 0:00,,"C-Diddy, C-3PO, B-Funk",NULL,90,NULL,NULL,,,0,peat bog/glacial outwash,"Boggy but dry at center, lots of snags, lots of gaps, glacial outwash area, very mossy mesic, lots of organic matter in soil.",,,,NULL,,,NULL,NULL,0,,
395,AK35,8/13/09 0:00,,"B,Jo,Je",463,204,555991,4788816,324,75%,0,slope,"Overlooking a lake, Unk species, poss hornbeam? AcRu in lower slope, QuRu in upper slope. Large PiSt and TsCa dominant, few herbs on slope, more at bottom (C).",,,,NULL,,,NULL,NULL,0,,
394,AK36B,8/8/09 0:00,R080809a,"L,S,A,B",NULL,120,NULL,NULL,S-SE,0-2%,0,,"Mainly AcSm in canopy. Moved east of original AK36, which was only ~90ft from road.",58-64,,,NULL,,,NULL,NULL,0,,
392,AK37,8/13/09 0:00,,"B,Jo,Je",477,210,555953,4789342,220,60%,0,mid-slope,"QuRu dominant in canopy, FaGr dominant in shrub/sap understory. Rocky ground.",,,,NULL,,,NULL,NULL,0,,
389,AK38,8/10/09 0:00,,"C,A,B,J",594,162,513797,4852381,8,20%,0,mid-slope,"Dense canopy, AcSm, BeAl, AbBa, few rocks, some fallen trees, FaGr",,,,NULL,,,NULL,NULL,0,,
351,AK41B,NULL,,,NULL,NULL,NULL,NULL,E,1-2%,0,Mid-slope,"NH/maple stand with a few very large FrAm and BeAl trees. Down trees and CWD on forest floor. Lots of leaf debris on ground. Some large standing dead birch leaving gaps in canopy. Dominated by FrAm, BeAl, AcSm. FaGr in the understory.",,,,NULL,,,NULL,NULL,0,,
387,AK44,8/10/09 0:00,,"C,A,B,J",606,186,523007,4843563,238,25%,0,valley/slope,"FaGr, BeAl, big TsCa, AcSm, and AcRu. Two areas of blowdown trees, between a little valley.",,,,NULL,,,NULL,NULL,0,,
386,AK46,8/10/09 0:00,,"L,Cr,A",NULL,120,NULL,NULL,,,0,Drainage - intermittent stream,"Mainly AcRu/BeAl canopy. Dense understory (FaGr), hardwood plot. Occasional PiRu, some AcPe and FaGr in understory.",,,,NULL,,,NULL,NULL,0,,
385,AK47B,8/10/09 0:00,,,NULL,224,NULL,NULL,,,0,mid-slope,"Very steep, about 200ft below original AK47, same composition.",,,,NULL,,,NULL,NULL,0,,
384,AK50B,8/14/09 0:00,,,585,48,495187,4836025,,,0,upper convex slope,,,,,NULL,,,NULL,NULL,0,,
383,AK51B,8/14/09 0:00,,,592,0,515974,4834231,,,0,floodplain,,,,,NULL,,,NULL,NULL,0,,
382,AK52,8/13/09 0:00,,"L,T-Bone,A",NULL,222,NULL,NULL,,,0,bottomland,"Maple (AcSm), beech, BeAl. Pretty open. About 10-15m from G Lake.",,,,NULL,,,NULL,NULL,0,,
370,AK54,8/13/09 0:00,,"L,T-Bone,A",NULL,144,NULL,NULL,,,0,bottomland,Pine (PiSt) and AcRu. Gap at subplot A (2 dead pines). About 500ft from G Lake.,,,,NULL,,,NULL,NULL,0,,
368,AK57,8/8/09 0:00,,"L,A,S",NULL,204,NULL,NULL,,,0,mid-slope,"Large birch (BePa), fir and spruce. Shallow soil (and loose), rocky, but covered by leaf fall and moss. Lots of shining clubmoss on ground.",90-97,,,NULL,,,NULL,NULL,0,,
365,AK58,8/11/09 0:00,,"Angelique, Amy, Brad",NULL,166,NULL,NULL,70,0-1%,0,floodplain bog,"Some wood sorrel, bunchberry. Ground cover sphagnum, ferns, and scattered saplings (<0.5m) with pockets of open water. Canopy open and gappy with AbBa, AcRu, BeAl, and PiRu dominant. Lots of CWD - primarily small fallen trees. Lots of lichens and mosses on live trees.",,,,NULL,,,NULL,NULL,0,,
363,AK59,8/11/09 0:00,,AAB,NULL,212,NULL,NULL,N,3%,0,mid-slope,"Shining clubmoss, ferns and saplings (FaGr and AcPe mostly) dominate ground layer. AcSm and FaGr dominate the canopy; interspersed by large BeAl. Some large moss-covered rocks and a moderate amount of CWD around site. One treefall gap on transect E. Lake at bottom of slope to gen N direction",,,,NULL,,,NULL,NULL,0,,
320,AK60,8/6/09 0:00,R080610A,AEBS,1091,270,539502,4825565,N,,0,Mountain top/ summit-ridge,"High fern cover. Balsam fir, paper birch stand with some CWD on forest floor. Some standing snags, more gappy towards the north.",10-Jan,,,8/6/09 0:00,,,8/6/09 0:00,8/6/09 12:00,0,,
361,AK61,8/15/09 0:00,,,519,48,491447,4856243,,,0,lower concave slope,,,,,NULL,,,NULL,NULL,0,,
396,BH02,6/18/08 0:00,,JBSKV,333,132,264479,4806268,None,20,0,,Some wind damage on,0094-0099,,,NULL,,,NULL,NULL,0,,
406,BH03,6/14/08 0:00,,,325,210,269553,4808264,92.5,6%,0,Mid-slope,Rocky old high-grade logging; wet from heavy rains. Sub-surface stream/ flow. Maple saplings (4 meters). Minor FTC damage.,6-Jan,NIKON,Shawn,NULL,Nikon,BH03,NULL,NULL,270,,
401,BH05,6/13/08 0:00,,JVKBSC,403,300,271427,4809994,None,,0,Mid-slope,"Surface fire. Logged? Mesic (wet from heavy rains). Minimal understorey. Some rocks, minimal detritus.",,,Shawn,6/11/08 0:00,CP5000,BH1,6/11/08 13:02,6/11/08 0:00,180,,
397,BH06,6/15/08 0:00,,KBJS,450,258,270990,4812333,140,3%,0,Upper convex slope,"Surface fire, minor; mesic; some rocks and fallen debris (organic)",0081.jpg-0086.jpg,,,NULL,,,NULL,NULL,0,,
398,BH07,NULL,None,"SS,JL,VL,KM,BI",451,24,273240,4811266,NNE,1-2%,0,Upper convex slope,"Distubred woods, plot unevenly bisected by stone wall. Oaks/Ash reaching 20-25m. Some logging, wind damage. Relatively thick understorey. Moderately mesic.",0087-0093,,,NULL,,,NULL,NULL,0,,
405,BH10,6/26/08 0:00,,BKJ,0,114,0,0,295,3%,0,Mid-slope,Ground cover washed out from recent flooding. Much CWD. Looks like logged 30-50 years ago.,,,,NULL,,,NULL,NULL,0,,
404,BH11,6/24/08 0:00,,"KM, JL, BI",0,60,0,0,240,<1%,1,Mid-gentle-slope,White pine plantation,,,,NULL,,,NULL,NULL,0,,
399,BH12,7/1/08 0:00,,VBJ,0,18,0,0,150,2-3%,0,Mid-slope,"Lots of decaying CWD; rocky; xeric area at B, E - otherwise intermediate (A, C, D)",,,Viviana,7/1/08 0:00,,,7/1/08 0:00,7/1/08 0:00,0,,
402,BH14,6/24/08 0:00,,,0,0,0,0,270,2%,0,Ridge,Xeric; near bluff edge; visible gypsy moth damage on white oak leaves; grass understorey,13-Aug,NIKON,,NULL,,,NULL,NULL,0,,
403,BH15,6/25/08 0:00,,,430,354,0,0,350,2%,0,"Ridgetop, slopes gently","Xeric ridgetop, lots of understorey and saplings; large white pines spread throughout",0057-,,S,6/5/08 0:00,,BH15N,6/5/08 0:00,6/5/08 0:00,90,,
